UniProtKB:A0A075B6P5,20-120
UniProtKB:P14920,1-347
UniProtKB:P14921,1-441
UniProtKB:P14921,1-441,Thr-38,MOD:00047
UniProtKB:P14923,1-745
UniProtKB:P14927,2-111
UniProtKB:P15018,23-202
UniProtKB:P15036,1-469,Thr-72,MOD:00047
UniProtKB:P15036,1-469
UniProtKB:P15056,2-766,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:P15056,2-766
UniProtKB:P15056,2-766,Ser-445/Ser-729,MOD:00046
UniProtKB:P15056,2-766,Ser-151/Ser-445/Ser-602/Ser-729/Ser-750/Ser-753,MOD:00046|Thr-401/Thr-599,MOD:00047
UniProtKB:P15056,2-766,Ser-null,MOD:00046|Thr-null,MOD:00047
UniProtKB:P15056,2-766,Ser-338,MOD:00046
UniProtKB:P15056,2-766,Ser-365/Ser-445/Ser-729,MOD:00046
UniProtKB:P15086,111-417
UniProtKB:P15088,110-417
UniProtKB:P15090,2-132
UniProtKB:P15104,2-373
UniProtKB:P15121,2-316
UniProtKB:P15144,2-967
UniProtKB:P15151,21-417
UniProtKB:P15153,1-189
UniProtKB:P15169,21-458
UniProtKB:P15170,1-499
UniProtKB:P15172,1-320
UniProtKB:P15173,1-224
UniProtKB:P15248,19-144
UniProtKB:P15259,1-253
UniProtKB:P15260,18-489,Tyr-440,MOD:00048
UniProtKB:P15260,18-489
UniProtKB:P15289,19-444,XXX-69,MOD:00835
UniProtKB:P15289,19-444
UniProtKB:P15289,448-507
UniProtKB:P15291,1-349
UniProtKB:P15291,1-398
UniProtKB:P15309,33-386
UniProtKB:P15311,2-586,Thr-567,MOD:00047
UniProtKB:P15311,2-586,Tyr-146/Tyr-354,MOD:00048
UniProtKB:P15313,1-513
UniProtKB:P15328,25-234,XXX-161/XXX-201,MOD:00818
UniProtKB:P15336,1-505,Thr-69/Thr-71,MOD:00047
UniProtKB:P15336,1-505
UniProtKB:P15374,1-230
UniProtKB:P15382,1-129
UniProtKB:P15391,20-556,Tyr-348/Tyr-378/Tyr-409/Tyr-439/Tyr-500/Tyr-531,MOD:00048
UniProtKB:P15391,20-556
UniProtKB:P15428,1-266
UniProtKB:P15498,1-845
UniProtKB:P15498,1-845,Tyr-142/Tyr-160/Tyr-174,MOD:00048
UniProtKB:P15498,1-845,Tyr-174,MOD:00048
UniProtKB:P15502,?-786
UniProtKB:P15502,27-?
UniProtKB:P15502,27-786
UniProtKB:P15509,23-400
UniProtKB:P15514,20-252
UniProtKB:P15515,20-57
UniProtKB:P15515,31-57
UniProtKB:P15516,20-43
UniProtKB:P15516,20-51
UniProtKB:P15529,35-392
UniProtKB:P15531,2-152
UniProtKB:P15538,25-503
UniProtKB:P15559,2-274
UniProtKB:P15586,37-552
UniProtKB:P15586,37-552,XXX-91,MOD:00835
UniProtKB:P15622,1-560
UniProtKB:P15692,27-232
UniProtKB:P15692-4,27-191
UniProtKB:P15735,1-406
UniProtKB:P15813,20-335
UniProtKB:P15814,38-213
UniProtKB:P15848,37-533
UniProtKB:P15848,37-533,XXX-86,MOD:01649
UniProtKB:P15848,37-533,XXX-91,MOD:00835
UniProtKB:P15880,1-293
UniProtKB:P15880,1-293,XXX-null,MOD:00077
UniProtKB:P15880,2-293
UniProtKB:P15882,2-459
UniProtKB:P15884,1-667
UniProtKB:P15907,1-406
UniProtKB:P15918,1-1043
UniProtKB:P15923,1-654
UniProtKB:P15923,1-654,Ser-139,MOD:00046
UniProtKB:P15924
UniProtKB:P15924,1-2871
UniProtKB:P15927,1-270,Ser-33,MOD:00046
UniProtKB:P15927,1-270
UniProtKB:P15941,24-1255,XXX-null,MOD:00163
UniProtKB:P15941,24-1255
UniProtKB:P15954,17-63
UniProtKB:P15976,1-413
UniProtKB:P16035,27-220
UniProtKB:P16050,2-662
UniProtKB:P16066,33-1061
UniProtKB:P16070,21-742
UniProtKB:P16083,1-231
UniProtKB:P16104,2-143,Ser-140,MOD:00046|Lys-14/Lys-16,MOD:01148
UniProtKB:P16104,2-143,Ser-140,MOD:00046
UniProtKB:P16104,2-143,Tyr-143,MOD:00048
UniProtKB:P16104,2-143
UniProtKB:P16104,2-143,Ser-140,MOD:00046|Tyr-143,MOD:00048
UniProtKB:P16104,2-143,XXX-4,MOD:00076
UniProtKB:P16109,42-830
UniProtKB:P16112,17-360,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16112,17-375,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16112,17-392,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16112,17-2415,XXX-null,MOD:00831
UniProtKB:P16112,17-2415,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16112,361-2415,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16112,376-2415,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16112,393-2415,XXX-null,MOD:00814|XXX-null,MOD:00831
UniProtKB:P16118,2-471,Ser-33,MOD:00046
UniProtKB:P16118,2-471
UniProtKB:P16144,28-1822
UniProtKB:P16150,20-400
UniProtKB:P16152,2-277
UniProtKB:P16157,1-1881
UniProtKB:P16188,25-365
UniProtKB:P16189,25-365
UniProtKB:P16190,25-365
UniProtKB:P16219,25-412
UniProtKB:P16220,1-341,Ser-133,MOD:00046
UniProtKB:P16220,1-341
UniProtKB:P16233,17-465
UniProtKB:P16234,24-1089
UniProtKB:P16234,24-1089,Tyr-572/Tyr-574/Tyr-720/Tyr-731/Tyr-742/Tyr-754/Tyr-762/Tyr-768/Tyr-849/Tyr-988/Tyr-1018,MOD:00048
UniProtKB:P16260,1-332
UniProtKB:P16278,29-677
UniProtKB:P16284,27-?,Tyr-663/Tyr-686,MOD:00048
UniProtKB:P16284,28-738
UniProtKB:P16298,2-524
UniProtKB:P16333,1-377
UniProtKB:P16383,1-781
UniProtKB:P16389,1-499
UniProtKB:P16401,2-226
UniProtKB:P16402,2-221
UniProtKB:P16403,2-213
UniProtKB:P16410,36-223
UniProtKB:P16410,36-223,Tyr-165/Tyr-182,MOD:00048
UniProtKB:P16422,24-314
UniProtKB:P16435,2-677
UniProtKB:P16444,17-385
UniProtKB:P16455,1-207,XXX-145,MOD:00239
UniProtKB:P16455,1-207
UniProtKB:P16471,25-622,Tyr-611,MOD:00048
UniProtKB:P16471,25-622
UniProtKB:P16473,21-764
UniProtKB:P16499,2-857
UniProtKB:P16499,2-860
UniProtKB:P16519,110-638
UniProtKB:P16520,1-340
UniProtKB:P16581,22-610
UniProtKB:P16591,1-822
UniProtKB:P16615,1-1042
UniProtKB:P16619,26-93
UniProtKB:P16662,24-529
UniProtKB:P16671,2-472,XXX-3/XXX-7/XXX-464/XXX-466,MOD:00115
UniProtKB:P16671,2-472
UniProtKB:P16870,43-476
UniProtKB:P16871,21-459,Tyr-449,MOD:00048
UniProtKB:P16871,21-459
UniProtKB:P16885,1-1265
UniProtKB:P16885,1-1265,Tyr-753/Tyr-759,MOD:00048
UniProtKB:P16885,1-1265,Tyr-753/Tyr-759/Tyr-1217,MOD:00048
UniProtKB:P16885,1-1265,Tyr-753/Tyr-759/Tyr-1197/Tyr-1217,MOD:00048
UniProtKB:P16885,1-1265,XXX-null,MOD:00696
UniProtKB:P16930,2-419
UniProtKB:P17014,1-501
UniProtKB:P17017,1-642
UniProtKB:P17019,1-563
UniProtKB:P17021,1-662
UniProtKB:P17022,1-549
UniProtKB:P17023,1-458
UniProtKB:P17024,1-532
UniProtKB:P17027,1-643
UniProtKB:P17029,1-563
UniProtKB:P17030,1-456
UniProtKB:P17031,1-533
UniProtKB:P17032,1-561
UniProtKB:P17035,1-718
UniProtKB:P17036,1-446
UniProtKB:P17038,1-809
UniProtKB:P17039,1-623
UniProtKB:P17066,1-643
UniProtKB:P17081,1-202
UniProtKB:P17096,2-107
UniProtKB:P17152,1-192
UniProtKB:P17174,2-413
UniProtKB:P17181,28-557,Tyr-466/Tyr-481,MOD:00048
UniProtKB:P17181,28-557
UniProtKB:P17213,32-487
UniProtKB:P17252,2-672,Ser-657,MOD:00046|Thr-497/Thr-638,MOD:00047
UniProtKB:P17252,2-672,Thr-497,MOD:00047
UniProtKB:P17252,2-672
UniProtKB:P17275,1-347
UniProtKB:P17301,30-1181
UniProtKB:P17302,2-382
UniProtKB:P17302,2-382,Tyr-265,MOD:00048
UniProtKB:P17405,47-629
UniProtKB:P17480,1-764,XXX-null,MOD:00696
UniProtKB:P17480,1-764
UniProtKB:P17483,1-251
UniProtKB:P17516,1-323
UniProtKB:P17538,19-31
UniProtKB:P17538,34-164
UniProtKB:P17538,167-263
UniProtKB:P17540,40-419
UniProtKB:P17542,1-331
UniProtKB:P17568,2-137
UniProtKB:P17600,1-705
UniProtKB:P17612,2-351
UniProtKB:P17643,25-537
UniProtKB:P17655,20-700
UniProtKB:P17658,1-529
UniProtKB:P17661,1-470
UniProtKB:P17676,1-345,Thr-235,MOD:00047
UniProtKB:P17676,1-345
UniProtKB:P17676,1-345,Ser-321,MOD:00046|Thr-235,MOD:00047
UniProtKB:P17677,1-238,XXX-3/XXX-4,MOD:00115
UniProtKB:P17677,1-238
UniProtKB:P17693,25-338
UniProtKB:P17706,1-415
UniProtKB:P17706-2,1-415
UniProtKB:P17707,1-67
UniProtKB:P17735,1-454,XXX-280,MOD:00128
UniProtKB:P17752,1-444
UniProtKB:P17787,26-502
UniProtKB:P17812,1-591
UniProtKB:P17844,1-614
UniProtKB:P17858,2-780
UniProtKB:P17861-2,1-261
UniProtKB:P17900,32-193
UniProtKB:P17927,42-2039
UniProtKB:P17931,2-250
UniProtKB:P17936,28-124
UniProtKB:P17936,28-126
UniProtKB:P17936,28-168
UniProtKB:P17936,28-186
UniProtKB:P17936,28-291
UniProtKB:P17936,28-291,XXX-null,MOD:00696
UniProtKB:P17936,125-187
UniProtKB:P17936,125-233
UniProtKB:P17936,127-291
UniProtKB:P17936,169-226
UniProtKB:P17936,188-291
UniProtKB:P17936,227-291
UniProtKB:P17936,234-291
UniProtKB:P17936,291-187
UniProtKB:P17947,1-270
UniProtKB:P17948,27-1338
UniProtKB:P17980,1-439
UniProtKB:P17987,1-556
UniProtKB:P18031,1-435
UniProtKB:P18054,2-663
UniProtKB:P18065,36-325
UniProtKB:P18074,1-760
UniProtKB:P18075,30-292
UniProtKB:P18077,1-110
UniProtKB:P18084,24-799
UniProtKB:P18085,2-180,XXX-2,MOD:00068
UniProtKB:P18089,1-450
UniProtKB:P18124,1-248
UniProtKB:P18146,1-543
UniProtKB:P18206,2-1134
UniProtKB:P18283,1-190
UniProtKB:P18405,1-259
UniProtKB:P18428,26-481
UniProtKB:P18433,20-802
UniProtKB:P18440,1-290
UniProtKB:P18440,1-290,XXX-68,MOD:00065
UniProtKB:P18462,25-365
UniProtKB:P18463,25-362
UniProtKB:P18464,25-362
UniProtKB:P18465,25-362
UniProtKB:P18505,26-474
UniProtKB:P18507,40-467
UniProtKB:P18509,2-742
UniProtKB:P18509,82-129
UniProtKB:P18509,132-158
UniProtKB:P18509,132-169
UniProtKB:P18510,26-177
UniProtKB:P18545,1-87
UniProtKB:P18564,22-788
UniProtKB:P18615,1-380,XXX-null,MOD:00696
UniProtKB:P18615,1-380
UniProtKB:P18621,2-184
UniProtKB:P18627,29-525
UniProtKB:P18669,2-254
UniProtKB:P18754,2-421
UniProtKB:P18825,1-462
UniProtKB:P18827,23-310,XXX-null,MOD:00814
UniProtKB:P18827,23-310
UniProtKB:P18846,1-271,Ser-63,MOD:00046
UniProtKB:P18846,1-271
UniProtKB:P18847,1-181
UniProtKB:P18848,1-351
UniProtKB:P18850,1-380
UniProtKB:P18850,1-419
UniProtKB:P18850,1-670,XXX-472/XXX-584/XXX-643,MOD:00693
UniProtKB:P18850,380-419
UniProtKB:P18850,420-670,XXX-472/XXX-584/XXX-643,MOD:00693
UniProtKB:P18858,1-919
UniProtKB:P18859,33-108
UniProtKB:P18887,1-633
UniProtKB:P19012,1-456
UniProtKB:P19013,1-534
UniProtKB:P19022,160-906
UniProtKB:P19022,160-906,XXX-null,MOD:00696
UniProtKB:P19086,2-355
UniProtKB:P19086,2-355,Ser-27,MOD:00046
UniProtKB:P19087,2-354
UniProtKB:P19099,25-503
UniProtKB:P19099,25-505
UniProtKB:P19105,1-171
UniProtKB:P19105,1-171,Ser-19,MOD:00046
UniProtKB:P19113,1-662
UniProtKB:P19174,2-1290,Tyr-null,MOD:00048
UniProtKB:P19174,2-1290
UniProtKB:P19174,2-1290,Tyr-472/Tyr-771/Tyr-783/Tyr-1253,MOD:00048
UniProtKB:P19174,2-1290,Tyr-771/Tyr-783,MOD:00048
UniProtKB:P19174,2-1290,Tyr-771/Tyr-783/Tyr-1253,MOD:00048
UniProtKB:P19224,27-532
UniProtKB:P19237,1-187
UniProtKB:P19256,29-250
UniProtKB:P19320,25-739
UniProtKB:P19338,2-710
UniProtKB:P19367,1-917
UniProtKB:P19387,2-275
UniProtKB:P19388,1-210
UniProtKB:P19397,2-219
UniProtKB:P19404,33-249
UniProtKB:P19419,1-428,Ser-324/Ser-383/Ser-389/Ser-422,MOD:00046|Thr-336,MOD:00047
UniProtKB:P19419,1-428
UniProtKB:P19429,2-210
UniProtKB:P19429,2-210,Ser-23/Ser-24,MOD:00046
UniProtKB:P19438,22-455
UniProtKB:P19438,41-201
UniProtKB:P19440,1-380
UniProtKB:P19440,381-569
UniProtKB:P19447,1-782
UniProtKB:P19474,1-475
UniProtKB:P19525,2-551
UniProtKB:P19623,1-302
UniProtKB:P19634,1-815
UniProtKB:P19652,19-201
UniProtKB:P19784,1-350
UniProtKB:P19793,1-462
UniProtKB:P19793,1-462,Ser-21,MOD:00046
UniProtKB:P19801,20-751
UniProtKB:P19823,55-702,XXX-null,MOD:00696
UniProtKB:P19823,55-702
UniProtKB:P19835,21-753
UniProtKB:P19838,1-433
UniProtKB:P19838,1-968,Ser-927/Ser-932,MOD:00046
UniProtKB:P19838,1-968
UniProtKB:P19838,1-968,Ser-927/Ser-932,MOD:00046|Lys-null,MOD:01148
UniProtKB:P19875,35-107
UniProtKB:P19876,35-107
UniProtKB:P19878,1-526,Thr-233,MOD:00047
UniProtKB:P19878,1-526
UniProtKB:P19883,30-344
UniProtKB:P19957,23-117
UniProtKB:P19957,61-117
UniProtKB:P19961,16-511
UniProtKB:P19971,11-482
UniProtKB:P20020,1-1258
UniProtKB:P20023,21-1033
UniProtKB:P20036,29-260
UniProtKB:P20039,30-266
UniProtKB:P20042,2-333
UniProtKB:P20061,24-433
UniProtKB:P20062,19-427
UniProtKB:P20138,18-364
UniProtKB:P20151,25-261
UniProtKB:P20160,27-248
UniProtKB:P20226,1-339
UniProtKB:P20248,1-432,Lys-null,MOD:01148
UniProtKB:P20248,1-432
UniProtKB:P20273,20-847,XXX-65,MOD:00737
UniProtKB:P20273,20-847
UniProtKB:P20273,20-847,Tyr-762/Tyr-807/Tyr-822,MOD:00048
UniProtKB:P20292,1-161
UniProtKB:P20309,1-590
UniProtKB:P20333,23-461
UniProtKB:P20333,27-?
UniProtKB:P20336,1-220,Cys-218/Cys-220,MOD:00113
UniProtKB:P20336,1-220
UniProtKB:P20337,1-219
UniProtKB:P20337,1-219,Cys-217/Cys-219,MOD:00113
UniProtKB:P20338,1-218
UniProtKB:P20338,1-218,Cys-216/Cys-218,MOD:00113
UniProtKB:P20339,1-215
UniProtKB:P20339,1-215,Cys-212/Cys-213,MOD:00113
UniProtKB:P20340,2-208,Cys-206/Cys-208,MOD:00113
UniProtKB:P20340,2-208
UniProtKB:P20366,58-68
UniProtKB:P20366,98-107
UniProtKB:P20382,147-165
UniProtKB:P20393,1-614
UniProtKB:P20396,84-86
UniProtKB:P20396,114-116
UniProtKB:P20396,135-137
UniProtKB:P20396,152-154
UniProtKB:P20396,186-188
UniProtKB:P20396,227-229
UniProtKB:P20585,1-414,XXX-356,MOD:00029
UniProtKB:P20585,1-1137
UniProtKB:P20591,1-662
UniProtKB:P20592,1-715
UniProtKB:P20594,23-1047
UniProtKB:P20618,29-241
UniProtKB:P20645,27-277
UniProtKB:P20648,2-1035
UniProtKB:P20671,2-130
UniProtKB:P20671,2-130,XXX-12,MOD:00078
UniProtKB:P20671,2-130,XXX-4,MOD:00078
UniProtKB:P20671,2-130,XXX-4,MOD:00077
UniProtKB:P20671,2-130,Lys-6,MOD:00064
UniProtKB:P20671,2-130,XXX-30,MOD:00077
UniProtKB:P20671,2-130,Lys-120,MOD:01148
UniProtKB:P20671,2-130,XXX-4,MOD:00076
UniProtKB:P20671,2-130,XXX-12,MOD:00077
UniProtKB:P20671,2-130,XXX-30,MOD:00078
UniProtKB:P20671,2-130,Lys-null,MOD:00064
UniProtKB:P20674,42-150
UniProtKB:P20700,1-231
UniProtKB:P20700,2-583,Ser-23/Ser-393,MOD:00046
UniProtKB:P20700,2-583,Ser-23/Ser-395/Ser-405,MOD:00046
UniProtKB:P20700,2-583
UniProtKB:P20700,2-583,Ser-395/Ser-405,MOD:00046
UniProtKB:P20700,2-586
UniProtKB:P20700,232-586
UniProtKB:P20701,26-1170
UniProtKB:P20702,20-1163
UniProtKB:P20711,1-480,XXX-303,MOD:00128
UniProtKB:P20718,21-246
UniProtKB:P20774,21-298,XXX-null,MOD:00831
UniProtKB:P20800,49-69
UniProtKB:P20807,1-821
UniProtKB:P20809,22-199
UniProtKB:P20810,1-708
UniProtKB:P20813,1-491
UniProtKB:P20815,1-502
UniProtKB:P20823,1-631
UniProtKB:P20827,?-182
UniProtKB:P20827,19-?
UniProtKB:P20827,19-182
UniProtKB:P20839,2-514
UniProtKB:P20849,?-921,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20849,?-921,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20849,?-921,Lys-null,MOD:00037
UniProtKB:P20849,?-921,Lys-null,MOD:00162
UniProtKB:P20849,?-921,Pro-null,MOD:00039
UniProtKB:P20849,?-921,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20849,?-921
UniProtKB:P20849,?-921,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20849,?-921,Lys-null,MOD:01914
UniProtKB:P20849,?-921,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20849,?-921,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20849,?-921,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20849,24-?,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20849,24-?,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20849,24-?,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20849,24-?,Lys-null,MOD:00162
UniProtKB:P20849,24-?,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20849,24-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20849,24-?,Lys-null,MOD:00037
UniProtKB:P20849,24-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20849,24-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20849,24-?
UniProtKB:P20849,24-?,Lys-null,MOD:01914
UniProtKB:P20849,24-?,Pro-null,MOD:00039
UniProtKB:P20849,24-921,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20849,24-921,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20849,24-921,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20849,24-921,Lys-null,MOD:01914
UniProtKB:P20849,24-921,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20849,24-921,Pro-null,MOD:00039
UniProtKB:P20849,24-921,Lys-null,MOD:00162
UniProtKB:P20849,24-921
UniProtKB:P20849,24-921,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20849,24-921,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20849,24-921,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20849,24-921,Lys-null,MOD:00037
UniProtKB:P20851,18-252
UniProtKB:P20853,1-494
UniProtKB:P20908,Lys-null,MOD:01914
UniProtKB:P20908,Lys-null,MOD:00037
UniProtKB:P20908,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908,Lys-null,MOD:00162
UniProtKB:P20908,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908
UniProtKB:P20908,Pro-null,MOD:00039
UniProtKB:P20908,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20908,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,?-1605
UniProtKB:P20908,?-1605,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,?-1605,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20908,?-1605,Lys-null,MOD:00162
UniProtKB:P20908,?-1605,Pro-null,MOD:00039
UniProtKB:P20908,?-1605,Lys-null,MOD:01914
UniProtKB:P20908,?-1605,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,?-1605,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908,?-1605,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,?-1605,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908,?-1605,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,?-1605,Lys-null,MOD:00037
UniProtKB:P20908,?-1838,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,?-1838,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908,?-1838,Lys-null,MOD:00162
UniProtKB:P20908,?-1838
UniProtKB:P20908,?-1838,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,?-1838,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,?-1838,Lys-null,MOD:00037
UniProtKB:P20908,?-1838,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20908,?-1838,Lys-null,MOD:01914
UniProtKB:P20908,?-1838,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,?-1838,Pro-null,MOD:00039
UniProtKB:P20908,?-1838,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908,38-1838,Pro-null,MOD:00039
UniProtKB:P20908,38-1838,Lys-null,MOD:01914
UniProtKB:P20908,38-1838,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,38-1838
UniProtKB:P20908,38-1838,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,38-1838,Lys-null,MOD:00037
UniProtKB:P20908,38-1838,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20908,38-1838,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:P20908,38-1838,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:P20908,38-1838,Lys-null,MOD:00162
UniProtKB:P20908,38-1838,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:P20908,38-1838,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:P20916,20-626
UniProtKB:P20929,1-6669
UniProtKB:P20930,1-?
UniProtKB:P20930,1-4061
UniProtKB:P20933,24-205
UniProtKB:P20936,1-1047
UniProtKB:P20963-1,22-164,Tyr-72/Tyr-83/Tyr-111/Tyr-123/Tyr-142/Tyr-153,MOD:00048
UniProtKB:P20963-1,22-164
UniProtKB:P21108,2-318
UniProtKB:P21127,1-795
UniProtKB:P21217,1-361
UniProtKB:P21266,1-225
UniProtKB:P21281,1-511
UniProtKB:P21283,2-382
UniProtKB:P21291,1-193
UniProtKB:P21333,2-2647
UniProtKB:P21333,2-2647,Ser-2152,MOD:00046
UniProtKB:P21359,1-2839
UniProtKB:P21359,2-2839
UniProtKB:P21359,2-2839,Lys-null,MOD:01148
UniProtKB:P21397,1-527
UniProtKB:P21399,1-889
UniProtKB:P21439,1-585
UniProtKB:P21439,1-1286
UniProtKB:P21452,1-398
UniProtKB:P21453,1-382
UniProtKB:P21462,1-350
UniProtKB:P21506,1-573
UniProtKB:P21549,1-392,XXX-209,MOD:00128
UniProtKB:P21554,1-472
UniProtKB:P21579,1-422
UniProtKB:P21580,1-790
UniProtKB:P21583-1,26-190
UniProtKB:P21583-1,26-273
UniProtKB:P21583-1,192-273
UniProtKB:P21589,27-549
UniProtKB:P21673,1-171
UniProtKB:P21675,1-1872
UniProtKB:P21695,2-349
UniProtKB:P21709,1-?,Tyr-599/Tyr-605,MOD:00048
UniProtKB:P21709,26-976
UniProtKB:P21728,1-446
UniProtKB:P21730,1-350
UniProtKB:P21731,1-343
UniProtKB:P21741,21-143
UniProtKB:P21754,23-350
UniProtKB:P21757,1-451,Cys-375/Cys-388/Cys-419/Cys-429/Cys-439/Cys-449,MOD:00798
UniProtKB:P21781,32-194
UniProtKB:P21796,2-283
UniProtKB:P21796,2-283,Lys-null,MOD:01148
UniProtKB:P21802,22-764,Tyr-null,MOD:00048
UniProtKB:P21802,22-764
UniProtKB:P21802,22-767
UniProtKB:P21802,22-767,Tyr-466/Tyr-586/Tyr-588/Tyr-656/Tyr-657/Tyr-733,MOD:00048
UniProtKB:P21802,22-768
UniProtKB:P21802,22-768,Tyr-466/Tyr-586/Tyr-588/Tyr-656/Tyr-657/Tyr-733,MOD:00048
UniProtKB:P21802,22-821,Tyr-null,MOD:00048
UniProtKB:P21802,22-821
UniProtKB:P21802,26-313
UniProtKB:P21802-1,21-821
UniProtKB:P21802-1,22-821,Tyr-466/Tyr-586/Tyr-588/Tyr-656/Tyr-657/Tyr-733/Tyr-769/Tyr-779,MOD:00048
UniProtKB:P21802-1,22-821
UniProtKB:P21802-17,22-769,Tyr-467/Tyr-587/Tyr-589/Tyr-657/Tyr-658/Tyr-734,MOD:00048
UniProtKB:P21802-17,22-769
UniProtKB:P21802-18,22-820
UniProtKB:P21802-18,22-820,Tyr-465/Tyr-585/Tyr-587/Tyr-655/Tyr-656/Tyr-732/Tyr-768/Tyr-778,MOD:00048
UniProtKB:P21802-3,22-822,Tyr-467/Tyr-587/Tyr-589/Tyr-657/Tyr-658/Tyr-734/Tyr-770/Tyr-780,MOD:00048
UniProtKB:P21802-3,22-822
UniProtKB:P21802-5,22-819
UniProtKB:P21802-5,22-819,Tyr-464/Tyr-584/Tyr-586/Tyr-654/Tyr-655/Tyr-731/Tyr-767/Tyr-778,MOD:00048
UniProtKB:P21810,38-368,XXX-null,MOD:00814
UniProtKB:P21810,38-368
UniProtKB:P21815,17-317
UniProtKB:P21817,1-5038
UniProtKB:P21854,1-359
UniProtKB:P21860-1,20-1342
UniProtKB:P21860-1,20-1342,Tyr-1054/Tyr-1197/Tyr-1199/Tyr-1222/Tyr-1224/Tyr-1260/Tyr-1262/Tyr-1276/Tyr-1289/Tyr-1328,MOD:00048
UniProtKB:P21912,29-280
UniProtKB:P21917,1-467
UniProtKB:P21918,1-477
